date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,117.825,117.4,117.42,117.825,117.589,16300,1916703.845,92,AAPL
2020-10-22,09:30,09:30 AM,3195.48,3190.0,3192.855,3194.34,3193.6259999999997,4203,13422812.51,53,AMZN
2020-10-22,09:30,09:30 AM,281.41,279.7,279.87,281.37,280.468,5991,1680285.475,45,FB
2020-10-22,09:30,09:30 AM,1587.88,1580.8,1583.3,1587.405,1584.4479999999999,859,1361040.75,18,GOOGL
2020-10-22,09:30,09:30 AM,53.27,53.13,53.2,53.23,53.205,4040,214949.895,49,INTC
2020-10-22,09:30,09:30 AM,215.14,213.93,213.93,215.065,214.585,4290,920568.83,50,MSFT
2020-10-22,09:30,09:30 AM,495.14,490.03,494.95,490.26,491.955,2385,1173312.55,30,NFLX
2020-10-22,09:30,09:30 AM,541.89,540.75,540.965,541.89,541.018,652,352743.7,22,NVDA
2020-10-22,09:30,09:30 AM,129.51,129.0,129.445,129.225,129.252,932,120462.82,22,QCOM
2020-10-22,09:30,09:30 AM,443.73,441.83,442.0,442.73,442.708,12733,5636997.335,114,TSLA
2020-10-22,09:31,09:31 AM,118.01,117.79,117.795,117.79,117.93,10478,1235667.21,43,AAPL
2020-10-22,09:31,09:31 AM,3198.55,3194.515,3195.35,3194.64,3195.533,770,2460560.24,18,AMZN
2020-10-22,09:31,09:31 AM,281.71,280.705,281.35,280.84,281.532,5040,1418923.345,50,FB
2020-10-22,09:31,09:31 AM,1594.35,1591.26,1591.305,1594.35,1592.817,1178,1876337.995,18,GOOGL
2020-10-22,09:31,09:31 AM,53.36,53.16,53.36,53.17,53.207,2014,107159.675,25,INTC
2020-10-22,09:31,09:31 AM,215.27,215.15,215.27,215.155,215.178,2100,451874.0,9,MSFT
2020-10-22,09:31,09:31 AM,492.46,490.35,490.35,491.24,491.166,575,282420.75,8,NFLX
2020-10-22,09:31,09:31 AM,544.005,543.0,543.84,543.0,543.611,760,413144.67,14,NVDA
2020-10-22,09:31,09:31 AM,129.535,129.4,129.4,129.535,129.412,110,14235.35,2,QCOM
2020-10-22,09:31,09:31 AM,445.0,441.0,442.865,441.0,443.14099999999996,5716,2532996.375,68,TSLA
