date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,117.825,117.4,117.42,117.825,117.589,16300,1916703.845,92,AAPL
2020-10-22,09:31,09:31 AM,118.01,117.79,117.795,117.79,117.93,10478,1235667.21,43,AAPL
2020-10-22,09:32,09:32 AM,117.82,117.6,117.82,117.6,117.683,3386,398475.655,21,AAPL
2020-10-22,09:33,09:33 AM,117.69,117.57,117.57,117.62,117.631,1699,199855.62,19,AAPL
2020-10-22,09:34,09:34 AM,117.685,117.65,117.67,117.65,117.669,207,24357.54,4,AAPL
2020-10-22,09:35,09:35 AM,117.605,117.33,117.605,117.39,117.398,15951,1872611.675,34,AAPL
2020-10-22,09:36,09:36 AM,117.38,117.295,117.33,117.3,117.344,4350,510447.3,16,AAPL
2020-10-22,09:37,09:37 AM,117.88,117.315,117.33,117.85,117.665,11610,1366091.415,26,AAPL
2020-10-22,09:38,09:38 AM,117.935,117.81,117.935,117.81,117.894,10091,1189665.845,26,AAPL
2020-10-22,09:39,09:39 AM,117.795,117.6,117.79,117.64,117.679,40874,4809996.22,55,AAPL
2020-10-22,09:40,09:40 AM,117.72,117.46,117.65,117.46,117.648,12552,1476723.82,54,AAPL
2020-10-22,09:41,09:41 AM,117.54,117.41,117.415,117.51,117.469,10347,1215457.665,49,AAPL
2020-10-22,09:42,09:42 AM,117.83,117.47,117.49,117.75,117.661,7997,940932.475,41,AAPL
2020-10-22,09:43,09:43 AM,117.88,117.63,117.77,117.865,117.807,4878,574664.17,30,AAPL
2020-10-22,09:44,09:44 AM,117.94,117.85,117.85,117.94,117.903,7359,867646.23,33,AAPL
2020-10-22,09:45,09:45 AM,117.94,117.74,117.94,117.82,117.806,3891,458382.31,22,AAPL
2020-10-22,09:46,09:46 AM,117.81,117.59,117.81,117.65,117.659,5908,695126.47,37,AAPL
2020-10-22,09:47,09:47 AM,117.65,117.55,117.6,117.55,117.6,3992,469458.685,34,AAPL
2020-10-22,09:48,09:48 AM,117.63,117.41,117.6,117.41,117.51,5235,615166.535,42,AAPL
2020-10-22,09:49,09:49 AM,117.5,117.355,117.41,117.36,117.408,4831,567197.32,28,AAPL
2020-10-22,09:50,09:50 AM,117.45,117.24,117.38,117.45,117.295,4384,514222.35,25,AAPL
2020-10-22,09:51,09:51 AM,117.52,117.45,117.45,117.5,117.48,6702,787350.59,33,AAPL
2020-10-22,09:52,09:52 AM,117.64,117.55,117.61,117.595,117.599,5805,682663.12,39,AAPL
2020-10-22,09:53,09:53 AM,117.6,117.53,117.57,117.545,117.56,6522,766725.215,37,AAPL
2020-10-22,09:54,09:54 AM,117.645,117.5,117.62,117.5,117.557,8269,972079.95,44,AAPL
2020-10-22,09:55,09:55 AM,117.585,117.44,117.475,117.53,117.531,4943,580957.895,35,AAPL
2020-10-22,09:56,09:56 AM,117.54,117.37,117.48,117.42,117.474,5044,592537.915,33,AAPL
2020-10-22,09:57,09:57 AM,117.38,117.29,117.33,117.34,117.336,4611,541035.25,34,AAPL
2020-10-22,09:58,09:58 AM,117.44,117.24,117.365,117.31,117.325,14146,1659680.19,65,AAPL
2020-10-22,09:59,09:59 AM,117.33,117.19,117.285,117.29,117.247,8484,994720.655,54,AAPL
2020-10-22,10:00,10 AM,117.36,117.09,117.245,117.11,117.236,11493,1347390.92,75,AAPL
2020-10-22,10:01,10:01 AM,117.22,117.04,117.135,117.18,117.147,4774,559257.985,34,AAPL
2020-10-22,10:02,10:02 AM,117.16,117.055,117.13,117.06,117.106,6709,785663.93,39,AAPL
2020-10-22,10:03,10:03 AM,117.15,117,117.04,117.07,117.089,6568,769037.925,37,AAPL
2020-10-22,10:04,10:04 AM,117.07,116.97,117.07,117.015,117.028,10018,1172384.345,63,AAPL
2020-10-22,10:05,10:05 AM,117.24,116.92,117.015,117.21,117.044,15906,1861705.95,63,AAPL
2020-10-22,10:06,10:06 AM,117.205,117.14,117.2,117.15,117.159,2882,337653.855,29,AAPL
2020-10-22,10:07,10:07 AM,117.16,116.96,117.15,116.98,117.017,3698,432730.915,41,AAPL
2020-10-22,10:08,10:08 AM,117.045,116.9,116.965,117.045,116.971,4250,497128.35,33,AAPL
2020-10-22,10:09,10:09 AM,117.05,116.93,117.05,116.98,116.99,2934,343247.97,30,AAPL
2020-10-22,10:10,10:10 AM,117.09,116.96,116.96,117.06,117.048,8484,993038.535,53,AAPL
2020-10-22,10:11,10:11 AM,117.15,117.05,117.1,117.09,117.088,3662,428777.83,22,AAPL
2020-10-22,10:12,10:12 AM,117.09,116.94,117.09,117.06,117.01,5364,627640.82,42,AAPL
2020-10-22,10:13,10:13 AM,117.15,117.04,117.06,117.12,117.091,2196,257131.58,17,AAPL
2020-10-22,10:14,10:14 AM,117.19,117.13,117.16,117.165,117.155,5302,621156.04,38,AAPL
2020-10-22,10:15,10:15 AM,117.15,117.06,117.15,117.085,117.092,2197,257252.09,11,AAPL
2020-10-22,10:16,10:16 AM,117.07,116.96,117.07,117.05,117,4359,510002.86,28,AAPL
2020-10-22,10:17,10:17 AM,117.01,116.85,117.01,116.87,116.881,7977,932361.23,43,AAPL
2020-10-22,10:18,10:18 AM,117,116.89,116.89,116.99,116.926,5041,589425.295,33,AAPL
2020-10-22,10:19,10:19 AM,117.025,116.87,116.99,116.88,116.961,4754,556034.43,31,AAPL
2020-10-22,10:20,10:20 AM,116.875,116.75,116.87,116.75,116.823,15040,1757024.185,90,AAPL
2020-10-22,10:21,10:21 AM,116.74,116.59,116.73,116.67,116.692,6180,721156.78,51,AAPL
2020-10-22,10:22,10:22 AM,116.78,116.61,116.65,116.73,116.706,8089,944037.915,67,AAPL
2020-10-22,10:23,10:23 AM,116.74,116.48,116.72,116.55,116.578,10105,1178022.39,75,AAPL
2020-10-22,10:24,10:24 AM,116.57,116.425,116.55,116.47,116.479,13649,1589819.675,62,AAPL
2020-10-22,10:25,10:25 AM,116.49,116.31,116.47,116.44,116.396,25523,2970777.395,120,AAPL
2020-10-22,10:26,10:26 AM,116.44,116.21,116.44,116.28,116.276,9866,1147184.305,52,AAPL
2020-10-22,10:27,10:27 AM,116.45,116.3,116.3,116.43,116.417,7656,891288.185,59,AAPL
2020-10-22,10:28,10:28 AM,116.4,116.26,116.39,116.26,116.322,12355,1437157.22,70,AAPL
2020-10-22,10:29,10:29 AM,116.29,116.19,116.28,116.21,116.239,10858,1262118.95,55,AAPL
2020-10-22,10:30,10:30 AM,116.22,116.09,116.21,116.17,116.133,11680,1356440.21,61,AAPL
2020-10-22,10:31,10:31 AM,116.165,116,116.16,116.03,116.077,6592,765180.1,50,AAPL
