date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,1587.88,1580.8,1583.3,1587.405,1584.448,859,1361040.75,18,GOOGL
2020-10-22,09:31,09:31 AM,1594.35,1591.26,1591.305,1594.35,1592.817,1178,1876337.995,18,GOOGL
2020-10-22,09:32,09:32 AM,1594.5,1591.6,1594.5,1593.47,1592.579,276,439551.9,6,GOOGL
2020-10-22,09:33,09:33 AM,1595.51,1593.62,1593.855,1593.795,1594.999,1507,2403663.465,20,GOOGL
2020-10-22,09:34,09:34 AM,1596.2,1593.57,1593.57,1596.2,1594.755,265,422610.07,9,GOOGL
2020-10-22,09:35,09:35 AM,1596.86,1595.775,1596.695,1596.385,1596.607,847,1352326.31,14,GOOGL
2020-10-22,09:36,09:36 AM,1600.38,1599.14,1599.14,1600.38,1599.698,403,644678.14,5,GOOGL
2020-10-22,09:37,09:37 AM,1600.935,1599.085,1600.655,1600.7,1599.878,405,647950.395,6,GOOGL
2020-10-22,09:38,09:38 AM,1601.44,1601.02,1601.04,1601.44,1601.062,818,1309669.04,6,GOOGL
2020-10-22,09:39,09:39 AM,1600.3,1596.45,1600.3,1598.29,1597.662,1449,2315011.905,21,GOOGL
2020-10-22,09:40,09:40 AM,1599.04,1593,1599.03,1593,1595.225,1172,1869603.21,19,GOOGL
2020-10-22,09:41,09:41 AM,1594.285,1591.26,1594.285,1591.59,1593.403,1429,2276972.69,22,GOOGL
2020-10-22,09:42,09:42 AM,1592.67,1591.1,1591.33,1592.51,1591.766,1205,1918078.2,15,GOOGL
2020-10-22,09:43,09:43 AM,1592.29,1591,1592.29,1592.29,1591.675,217,345393.55,7,GOOGL
2020-10-22,09:44,09:44 AM,1592.34,1591.01,1591.65,1592.13,1591.785,1037,1650681.63,13,GOOGL
2020-10-22,09:45,09:45 AM,1594.25,1592.99,1593.34,1593.81,1593.9,306,487733.42,8,GOOGL
2020-10-22,09:46,09:46 AM,1592.72,1591.88,1592.34,1592.57,1592.441,305,485694.47,5,GOOGL
2020-10-22,09:47,09:47 AM,1593.68,1592.77,1593.555,1593.68,1593.174,285,454054.705,8,GOOGL
2020-10-22,09:48,09:48 AM,1595.18,1593.47,1594.67,1594.2,1594.665,157,250362.33,7,GOOGL
2020-10-22,09:49,09:49 AM,1594.19,1592.53,1594.07,1592.53,1592.91,62,98760.405,7,GOOGL
2020-10-22,09:50,09:50 AM,1592.62,1591.83,1591.83,1592.62,1592.604,102,162445.66,2,GOOGL
2020-10-22,09:51,09:51 AM,1595.82,1594.25,1594.25,1595.82,1594.806,513,818135.63,11,GOOGL
2020-10-22,09:52,09:52 AM,1597.1,1595.845,1597.1,1596.27,1596.851,314,501411.12,8,GOOGL
2020-10-22,09:53,09:53 AM,1595.39,1594.71,1594.71,1595.39,1595.383,101,161133.71,2,GOOGL
2020-10-22,09:54,09:54 AM,1598.42,1596.595,1596.595,1598.42,1597.237,311,496740.675,10,GOOGL
2020-10-22,09:55,09:55 AM,1598.45,1596.4,1596.59,1597.5,1596.798,1100,1756477.485,23,GOOGL
2020-10-22,09:56,09:56 AM,1596.59,1595.86,1596.59,1596.48,1596.553,324,517283.3,7,GOOGL
2020-10-22,09:57,09:57 AM,1597.67,1596.22,1596.26,1597.6,1596.986,756,1207321.76,12,GOOGL
2020-10-22,09:58,09:58 AM,1597.36,1596.035,1596.76,1596.07,1596.449,414,660929.78,10,GOOGL
2020-10-22,09:59,09:59 AM,1597.85,1594.22,1594.65,1597.7,1596.298,2015,3216541.14,24,GOOGL
2020-10-22,10:00,10 AM,1599.51,1595.2,1598.1,1595.2,1596.984,843,1346257.69,21,GOOGL
2020-10-22,10:01,10:01 AM,1596.08,1594.46,1594.865,1595.2,1595.234,392,625331.88,9,GOOGL
2020-10-22,10:02,10:02 AM,1595.13,1594.505,1594.505,1595.13,1594.817,201,320558.27,3,GOOGL
2020-10-22,10:03,10:03 AM,1593.95,1592.075,1593.22,1592.295,1592.983,359,571880.8,9,GOOGL
2020-10-22,10:04,10:04 AM,1592.6,1591.41,1592.6,1591.41,1592.059,897,1428077.23,11,GOOGL
2020-10-22,10:05,10:05 AM,1592.73,1591.66,1592.43,1592.73,1592.149,433,689400.615,14,GOOGL
2020-10-22,10:06,10:06 AM,1594.225,1592.99,1594.225,1593.68,1593.546,10,15935.465,4,GOOGL
2020-10-22,10:07,10:07 AM,1594.79,1593.62,1594.28,1594.79,1593.749,123,196031.095,5,GOOGL
2020-10-22,10:08,10:08 AM,1595.59,1595.235,1595.53,1595.235,1595.575,51,81374.32,3,GOOGL
2020-10-22,10:09,10:09 AM,1595.31,1593.63,1595.165,1593.63,1594.858,339,540656.7,6,GOOGL
2020-10-22,10:10,10:10 AM,1595.04,1593.75,1593.85,1593.75,1594.109,26,41446.84,4,GOOGL
2020-10-22,10:11,10:11 AM,1594.845,1593.825,1594,1594.845,1594.057,9,14346.515,4,GOOGL
2020-10-22,10:12,10:12 AM,1595.21,1593.63,1595.07,1594.8,1593.743,113,180092.93,6,GOOGL
2020-10-22,10:13,10:13 AM,1596.095,1594.88,1595.24,1595.09,1595.14,152,242461.33,9,GOOGL
2020-10-22,10:14,10:14 AM,1595.82,1594.88,1595.39,1595.37,1595.228,420,669995.75,7,GOOGL
2020-10-22,10:15,10:15 AM,1595.23,1593.68,1594.8,1593.68,1594.099,312,497359.01,7,GOOGL
2020-10-22,10:16,10:16 AM,1594.72,1593.475,1593.68,1594.72,1593.911,300,478173.24,7,GOOGL
2020-10-22,10:17,10:17 AM,1592.47,1592.47,1592.47,1592.47,1592.47,100,159247,1,GOOGL
2020-10-22,10:18,10:18 AM,1592.155,1591.56,1591.56,1592.155,1591.775,106,168728.175,4,GOOGL
2020-10-22,10:19,10:19 AM,1591.29,1591.16,1591.16,1591.29,1591.287,102,162311.32,2,GOOGL
2020-10-22,10:20,10:20 AM,1592.21,1591.1,1591.19,1591.82,1591.409,685,1090114.85,7,GOOGL
2020-10-22,10:21,10:21 AM,1591.975,1590.81,1591.975,1590.82,1591.334,344,547418.835,12,GOOGL
2020-10-22,10:22,10:22 AM,1592.28,1590.82,1590.82,1591.545,1591.783,704,1120615.525,14,GOOGL
2020-10-22,10:23,10:23 AM,1591.58,1591.04,1591.43,1591.15,1591.174,784,1247480.17,12,GOOGL
2020-10-22,10:24,10:24 AM,1591.25,1588.79,1591.24,1588.97,1590.859,554,881335.99,12,GOOGL
2020-10-22,10:25,10:25 AM,1588.56,1586,1586,1588.51,1587,223,353900.94,8,GOOGL
2020-10-22,10:26,10:26 AM,1588.06,1588.06,1588.06,1588.06,1588.06,10,15880.6,2,GOOGL
2020-10-22,10:27,10:27 AM,1589.25,1588.025,1588.025,1588.4,1588.732,123,195414.055,8,GOOGL
2020-10-22,10:28,10:28 AM,1589.97,1587.55,1588.8,1589.9,1588.736,352,559235.07,12,GOOGL
2020-10-22,10:29,10:29 AM,1589.48,1587.27,1588.38,1587.58,1588.611,72,114379.99,10,GOOGL
2020-10-22,10:30,10:30 AM,1588.84,1585.955,1587.98,1586.08,1586.664,386,612452.315,12,GOOGL
2020-10-22,10:31,10:31 AM,1585.18,1583.83,1585.15,1584.95,1584.153,293,464156.78,11,GOOGL
2020-10-22,10:32,10:32 AM,1584.93,1582.88,1584.525,1583.23,1583.576,302,478239.865,7,GOOGL
2020-10-22,10:33,10:33 AM,1582.86,1580.92,1582.86,1580.92,1581.335,148,234037.565,10,GOOGL
2020-10-22,10:34,10:34 AM,1581.69,1581.39,1581.525,1581.39,1581.555,212,335289.595,7,GOOGL
2020-10-22,10:35,10:35 AM,1582.97,1581.73,1581.82,1582.97,1582.407,296,468392.37,10,GOOGL
2020-10-22,10:36,10:36 AM,1582.14,1580.73,1582.14,1581.04,1581.875,345,545746.885,14,GOOGL
2020-10-22,10:37,10:37 AM,1584.31,1583.26,1583.33,1584.31,1583.649,264,418083.385,6,GOOGL
2020-10-22,10:38,10:38 AM,1584.03,1583.18,1583.2,1584.03,1583.245,215,340397.58,7,GOOGL
2020-10-22,10:39,10:39 AM,1584.99,1582.365,1584.32,1582.365,1583.843,759,1202137.135,15,GOOGL
2020-10-22,10:40,10:40 AM,1582.8,1580.59,1582.8,1581.335,1582.469,44,69628.645,5,GOOGL
2020-10-22,10:41,10:41 AM,1583.98,1581.74,1581.74,1582.61,1583.201,534,845429.42,16,GOOGL
2020-10-22,10:42,10:42 AM,1584.61,1581.62,1581.67,1582.96,1582.697,277,438407.125,16,GOOGL
2020-10-22,10:43,10:43 AM,1583.82,1581.89,1581.89,1583.16,1583.429,47,74421.18,7,GOOGL
2020-10-22,10:44,10:44 AM,1582.04,1580.07,1580.855,1581.69,1581.44,346,547178.145,11,GOOGL
2020-10-22,10:45,10:45 AM,1582.32,1581.67,1581.67,1581.74,1581.927,511,808364.95,11,GOOGL
2020-10-22,10:46,10:46 AM,1582,1580.975,1580.975,1582,1581.317,3,4743.95,2,GOOGL
2020-10-22,10:47,10:47 AM,1581.92,1580.87,1580.87,1581.92,1581.745,36,56942.82,2,GOOGL
2020-10-22,10:48,10:48 AM,1580.35,1579.31,1580.305,1580.35,1579.614,225,355413.14,7,GOOGL
2020-10-22,10:49,10:49 AM,1580.75,1578.22,1578.96,1579.89,1579.709,203,320680.93,5,GOOGL
2020-10-22,10:50,10:50 AM,1579.83,1577.05,1579.29,1579.05,1578.218,186,293548.625,11,GOOGL
2020-10-22,10:51,10:51 AM,1583.49,1581.485,1581.485,1583.49,1582.924,121,191533.76,4,GOOGL
2020-10-22,10:52,10:52 AM,1583.41,1581.44,1582.87,1581.44,1583.083,171,270707.14,4,GOOGL
2020-10-22,10:53,10:53 AM,1581.15,1579.89,1581.15,1580.37,1580.368,127,200706.76,7,GOOGL
2020-10-22,10:54,10:54 AM,1581.93,1580.19,1580.19,1581.93,1581.062,121,191308.49,6,GOOGL
2020-10-22,10:55,10:55 AM,1583.5,1581.22,1581.76,1582.56,1582.591,108,170919.8,5,GOOGL
2020-10-22,10:56,10:56 AM,1582.585,1582.03,1582.26,1582.035,1582.133,17,26896.265,4,GOOGL
2020-10-22,10:57,10:57 AM,1583.4,1583.01,1583.4,1583.06,1583.249,302,478141.12,4,GOOGL
2020-10-22,10:58,10:58 AM,1583.1,1582.47,1583.09,1583.07,1582.866,611,967130.835,7,GOOGL
2020-10-22,10:59,10:59 AM,1584.785,1582.51,1584.785,1583.19,1583.433,214,338854.705,8,GOOGL
2020-10-22,11:00,11 AM,1587,1582.355,1582.355,1586.47,1585.689,1121,1777556.995,19,GOOGL
2020-10-22,11:01,11:01 AM,1588.4,1587.05,1587.05,1588.4,1588.062,430,682866.72,7,GOOGL
2020-10-22,11:02,11:02 AM,1589.495,1588.46,1588.78,1589.34,1589.069,505,802480.09,7,GOOGL
2020-10-22,11:03,11:03 AM,1589.63,1588.515,1589.63,1588.515,1589.269,12,19071.225,4,GOOGL
2020-10-22,11:04,11:04 AM,1590.87,1589.6,1589.605,1590.85,1590.809,238,378612.645,6,GOOGL
2020-10-22,11:05,11:05 AM,1591.4,1590.64,1590.89,1591.315,1591.208,362,576017.335,7,GOOGL
2020-10-22,11:06,11:06 AM,1591.91,1591.21,1591.78,1591.21,1591.623,310,493403.09,5,GOOGL
2020-10-22,11:07,11:07 AM,1591.59,1588.92,1589.6,1591.15,1590.203,1219,1938456.98,17,GOOGL
2020-10-22,11:08,11:08 AM,1591.6,1590.795,1591.37,1591.23,1591.234,444,706507.8,6,GOOGL
2020-10-22,11:09,11:09 AM,1591.95,1587.7,1591.95,1589.18,1589.423,6,9536.54,4,GOOGL
2020-10-22,11:10,11:10 AM,1591.03,1589.7,1589.7,1591.03,1590.694,257,408808.395,5,GOOGL
2020-10-22,11:11,11:11 AM,1591.16,1590.33,1591.16,1590.35,1590.987,118,187736.5,4,GOOGL
2020-10-22,11:12,11:12 AM,1592.37,1591.4,1591.78,1591.4,1591.52,240,381964.74,4,GOOGL
2020-10-22,11:13,11:13 AM,1593.05,1592.86,1592.86,1593.05,1592.954,103,164074.25,5,GOOGL
2020-10-22,11:14,11:14 AM,1597.63,1593.08,1593.08,1597.63,1595.947,145,231412.34,5,GOOGL
2020-10-22,11:15,11:15 AM,1597.74,1595.98,1596.97,1597.3,1596.821,157,250700.9,8,GOOGL
2020-10-22,11:16,11:16 AM,1597.25,1595.94,1596.88,1597.01,1596.685,231,368834.33,9,GOOGL
2020-10-22,11:17,11:17 AM,1597.24,1596.16,1596.16,1597.24,1596.957,20,31939.13,6,GOOGL
2020-10-22,11:18,11:18 AM,1597.19,1594.31,1596.8,1595.24,1595.649,682,1088232.73,14,GOOGL
2020-10-22,11:19,11:19 AM,1595.91,1594.36,1595.89,1595.33,1595.31,552,880611.06,9,GOOGL
2020-10-22,11:20,11:20 AM,1599.44,1595.47,1597.5,1599.25,1597.911,285,455404.795,13,GOOGL
2020-10-22,11:21,11:21 AM,1600.665,1599.19,1599.25,1599.88,1599.828,705,1127878.61,11,GOOGL
2020-10-22,11:22,11:22 AM,1598.42,1596.545,1598.42,1596.545,1597.828,404,645522.48,10,GOOGL
2020-10-22,11:23,11:23 AM,1597.72,1596.71,1597.68,1597.31,1597.654,105,167753.71,6,GOOGL
2020-10-22,11:24,11:24 AM,1597.46,1596.4,1596.7,1596.96,1596.582,461,736024.34,8,GOOGL
2020-10-22,11:25,11:25 AM,1596.34,1596.13,1596.3,1596.17,1596.234,203,324035.6,5,GOOGL
2020-10-22,11:26,11:26 AM,1598.97,1596.74,1596.74,1597.61,1597.927,295,471388.32,9,GOOGL
2020-10-22,11:27,11:27 AM,1597.61,1597.1,1597.61,1597.19,1597.406,81,129389.88,4,GOOGL
2020-10-22,11:28,11:28 AM,1597.56,1595.46,1597.56,1595.72,1596.508,341,544409.1,7,GOOGL
2020-10-22,11:29,11:29 AM,1598.005,1595.87,1595.87,1596.72,1597.065,163,260321.545,6,GOOGL
2020-10-22,11:30,11:30 AM,1598.075,1597.23,1598.075,1597.735,1597.79,30,47933.7,5,GOOGL
2020-10-22,11:31,11:31 AM,1598.77,1597.37,1598.09,1597.59,1597.609,104,166151.32,4,GOOGL
2020-10-22,11:32,11:32 AM,1597.4,1597.05,1597.05,1597.4,1597.393,49,78272.25,2,GOOGL
2020-10-22,11:33,11:33 AM,1597.97,1597.31,1597.97,1597.515,1597.773,66,105453.025,3,GOOGL
2020-10-22,11:34,11:34 AM,1597.46,1594.66,1597.46,1594.66,1595.937,298,475589.08,8,GOOGL
2020-10-22,11:35,11:35 AM,1595.77,1594.7,1594.815,1595.77,1594.984,282,449785.47,4,GOOGL
2020-10-22,11:36,11:36 AM,1596.46,1595.625,1596.405,1595.715,1596.13,1067,1703070.745,13,GOOGL
2020-10-22,11:37,11:37 AM,1594.865,1594.865,1594.865,1594.865,1594.865,1,1594.865,1,GOOGL
2020-10-22,11:38,11:38 AM,1595.24,1594.47,1594.56,1595.05,1594.673,355,566108.8,9,GOOGL
2020-10-22,11:39,11:39 AM,1596.33,1594.9,1595.73,1594.9,1595.601,634,1011611.03,8,GOOGL
2020-10-22,11:40,11:40 AM,1596.59,1594.53,1596.095,1594.53,1595.247,419,668408.575,7,GOOGL
2020-10-22,11:41,11:41 AM,1594.92,1594.25,1594.82,1594.92,1594.84,109,173837.54,4,GOOGL
2020-10-22,11:42,11:42 AM,1596.525,1595.6,1595.6,1596.525,1596.305,9,14366.75,3,GOOGL
2020-10-22,11:43,11:43 AM,1597.55,1596.61,1596.84,1596.98,1597.089,365,582937.46,6,GOOGL
2020-10-22,11:44,11:44 AM,1597.35,1596.5,1596.7,1596.5,1597.155,11,17568.7,3,GOOGL
2020-10-22,11:45,11:45 AM,1597.63,1596.03,1596.29,1596.13,1597.187,602,961506.54,15,GOOGL
2020-10-22,11:46,11:46 AM,1597.46,1595.23,1595.23,1597.46,1596.236,1118,1784591.31,13,GOOGL
2020-10-22,11:47,11:47 AM,1598.4,1597.51,1597.88,1598.235,1598.01,350,559303.61,8,GOOGL
2020-10-22,11:48,11:48 AM,1597.92,1597.09,1597.92,1597.09,1597.454,123,196486.81,4,GOOGL
2020-10-22,11:49,11:49 AM,1596.745,1594.895,1594.895,1596.745,1595.096,310,494479.855,7,GOOGL
2020-10-22,11:50,11:50 AM,1597.48,1596.315,1596.315,1597.48,1596.913,20,31938.255,4,GOOGL
2020-10-22,11:51,11:51 AM,1598.35,1596.11,1597.62,1597.1,1597.247,125,199655.83,6,GOOGL
2020-10-22,11:52,11:52 AM,1597.85,1596.94,1597.64,1596.94,1597.626,5,7988.13,3,GOOGL
2020-10-22,11:53,11:53 AM,1598.59,1597.85,1597.85,1597.885,1598.408,186,297303.825,5,GOOGL
2020-10-22,11:54,11:54 AM,1597.61,1595.66,1597.36,1596.21,1597.246,31,49514.64,6,GOOGL
2020-10-22,11:55,11:55 AM,1596.54,1595.36,1595.55,1595.36,1596.11,221,352740.36,4,GOOGL
2020-10-22,11:56,11:56 AM,1594.8,1593.94,1593.94,1594.8,1594.628,5,7973.14,2,GOOGL
2020-10-22,11:57,11:57 AM,1595.9,1594.56,1595.58,1595.43,1595.396,353,563174.82,13,GOOGL
2020-10-22,11:58,11:58 AM,1595.53,1595.03,1595.53,1595.03,1595.28,2,3190.56,2,GOOGL
2020-10-22,11:59,11:59 AM,1595.58,1593.315,1595.58,1593.315,1594.192,129,205650.83,5,GOOGL
2020-10-22,12:00,12 PM,1594.52,1593.375,1593.945,1593.375,1594.233,6,9565.4,3,GOOGL
2020-10-22,12:01,12:01 PM,1593.98,1592.61,1593.98,1592.61,1592.768,299,476237.8,5,GOOGL
2020-10-22,12:02,12:02 PM,1594.09,1593.68,1593.885,1594.09,1593.732,113,180091.7,5,GOOGL
2020-10-22,12:03,12:03 PM,1594.26,1593.9,1593.9,1594.26,1594.252,103,164207.915,3,GOOGL
2020-10-22,12:04,12:04 PM,1593.77,1591.27,1593.77,1591.33,1591.858,261,415474.97,4,GOOGL
2020-10-22,12:05,12:05 PM,1592.47,1591.91,1592,1591.91,1592.156,205,326392,4,GOOGL
2020-10-22,12:06,12:06 PM,1592.585,1592.12,1592.12,1592.585,1592.134,34,54132.545,2,GOOGL
2020-10-22,12:07,12:07 PM,1593.905,1592.39,1592.49,1593.33,1592.455,159,253200.35,7,GOOGL
