date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,281.41,279.7,279.87,281.37,280.468,5991,1680285.475,45,FB
2020-10-22,09:31,09:31 AM,281.71,280.705,281.35,280.84,281.532,5040,1418923.345,50,FB
2020-10-22,09:32,09:32 AM,281.17,279.92,281.06,279.96,280.24,3981,1115634.17,23,FB
2020-10-22,09:33,09:33 AM,280.55,279.835,280.02,280.55,280.451,6657,1866960.82,24,FB
2020-10-22,09:34,09:34 AM,281.35,280.9,280.9,281.35,281.14,3202,900209.52,9,FB
2020-10-22,09:35,09:35 AM,281.92,281.2,281.29,281.92,281.467,9903,2787368.935,34,FB
2020-10-22,09:36,09:36 AM,282.39,281.57,281.89,282.39,281.82,10438,2941639.09,45,FB
2020-10-22,09:37,09:37 AM,282.235,281.35,282.17,281.525,281.635,6134,1727552.15,27,FB
2020-10-22,09:38,09:38 AM,281.895,281.49,281.49,281.68,281.727,6654,1874614.04,25,FB
2020-10-22,09:39,09:39 AM,281.78,280.91,281.37,281.78,281.364,14029,3947257.3,79,FB
2020-10-22,09:40,09:40 AM,281.95,280.41,281.77,280.5,281.27,6477,1821787.735,70,FB
2020-10-22,09:41,09:41 AM,280.8,280.26,280.65,280.45,280.516,4650,1304401.07,54,FB
2020-10-22,09:42,09:42 AM,280.47,280.12,280.47,280.4,280.316,3504,982227.77,40,FB
2020-10-22,09:43,09:43 AM,280.315,279.975,280.28,280.02,280.069,1857,520088.62,25,FB
2020-10-22,09:44,09:44 AM,280.31,279.92,279.98,280.27,280.109,7786,2180927.83,52,FB
2020-10-22,09:45,09:45 AM,280.34,279.61,280.3,279.65,279.864,4258,1191660.94,33,FB
2020-10-22,09:46,09:46 AM,279.53,279.31,279.38,279.53,279.399,2483,693748.155,31,FB
2020-10-22,09:47,09:47 AM,279.7,279.44,279.44,279.7,279.59,2144,599441.79,39,FB
2020-10-22,09:48,09:48 AM,279.98,279.52,279.71,279.68,279.706,1804,504589.85,21,FB
2020-10-22,09:49,09:49 AM,279.71,279.52,279.71,279.53,279.591,2112,590497.08,13,FB
2020-10-22,09:50,09:50 AM,279.84,279.56,279.57,279.81,279.696,1850,517438.155,15,FB
2020-10-22,09:51,09:51 AM,279.93,279.62,279.89,279.89,279.799,1928,539451.96,29,FB
2020-10-22,09:52,09:52 AM,280.32,280.09,280.24,280.31,280.188,2709,759028.59,12,FB
2020-10-22,09:53,09:53 AM,280.47,280.12,280.36,280.27,280.356,2972,833219.54,31,FB
2020-10-22,09:54,09:54 AM,280.41,280.08,280.345,280.3,280.193,2800,784541.245,26,FB
2020-10-22,09:55,09:55 AM,280.27,279.89,280.08,280.16,280.058,10473,2933051.79,31,FB
2020-10-22,09:56,09:56 AM,280.35,280.08,280.215,280.15,280.239,3785,1060704.77,26,FB
2020-10-22,09:57,09:57 AM,280.29,279.94,280.1,279.94,280.147,2302,644898.73,18,FB
2020-10-22,09:58,09:58 AM,279.96,279.28,279.96,279.44,279.411,1577,440630.685,25,FB
2020-10-22,09:59,09:59 AM,279.22,278.91,279.12,279.22,279.126,1907,532293.64,19,FB
2020-10-22,10:00,10 AM,279.15,278.865,279.06,278.87,279.051,11351,3167504.145,43,FB
2020-10-22,10:01,10:01 AM,278.98,278.65,278.87,278.98,278.825,8902,2482101.445,31,FB
2020-10-22,10:02,10:02 AM,279.07,278.76,278.93,278.85,278.931,14819,4133485.835,57,FB
2020-10-22,10:03,10:03 AM,278.92,278.05,278.92,278.05,278.749,9412,2623588.97,47,FB
2020-10-22,10:04,10:04 AM,278.14,277.81,277.99,277.91,277.946,4404,1224075.78,46,FB
2020-10-22,10:05,10:05 AM,278,277.42,277.91,277.99,277.814,2151,597577.19,29,FB
2020-10-22,10:06,10:06 AM,277.97,277.88,277.97,277.97,277.932,831,230961.76,8,FB
2020-10-22,10:07,10:07 AM,278.04,277.79,277.98,277.96,277.959,3142,873346.025,25,FB
2020-10-22,10:08,10:08 AM,278.01,277.73,278.01,277.96,277.9,3276,910401.18,20,FB
2020-10-22,10:09,10:09 AM,277.98,277.56,277.98,277.63,277.808,2254,626180.53,27,FB
2020-10-22,10:10,10:10 AM,278.05,277.78,277.78,278.03,277.978,1393,387222.72,15,FB
2020-10-22,10:11,10:11 AM,278.09,277.69,278,277.95,277.987,2036,565982.505,24,FB
