date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,53.27,53.13,53.2,53.23,53.205,4040,214949.895,49,INTC
2020-10-22,09:31,09:31 AM,53.36,53.16,53.36,53.17,53.207,2014,107159.675,25,INTC
2020-10-22,09:32,09:32 AM,53.27,53.1,53.2,53.27,53.149,1068,56762.855,15,INTC
2020-10-22,09:33,09:33 AM,53.34,53.27,53.27,53.31,53.311,1822,97132.73,18,INTC
2020-10-22,09:34,09:34 AM,53.355,53.28,53.28,53.35,53.299,820,43705.55,10,INTC
2020-10-22,09:35,09:35 AM,53.36,53.31,53.355,53.31,53.34,489,26083.07,10,INTC
2020-10-22,09:36,09:36 AM,53.37,53.285,53.285,53.32,53.329,510,27198,6,INTC
2020-10-22,09:37,09:37 AM,53.365,53.32,53.355,53.35,53.353,581,30998.22,6,INTC
2020-10-22,09:38,09:38 AM,53.37,53.3,53.355,53.315,53.328,457,24370.825,11,INTC
2020-10-22,09:39,09:39 AM,53.295,53.14,53.295,53.14,53.267,4069,216741.84,19,INTC
2020-10-22,09:40,09:40 AM,53.26,53.17,53.22,53.23,53.212,3681,195872.83,21,INTC
2020-10-22,09:41,09:41 AM,53.28,53.245,53.26,53.26,53.267,4985,265537.8,20,INTC
2020-10-22,09:42,09:42 AM,53.39,53.26,53.26,53.38,53.294,1244,66297.46,11,INTC
2020-10-22,09:43,09:43 AM,53.425,53.375,53.405,53.4,53.398,2701,144227.16,22,INTC
2020-10-22,09:44,09:44 AM,53.44,53.36,53.39,53.44,53.404,3876,206992.74,21,INTC
2020-10-22,09:45,09:45 AM,53.46,53.39,53.44,53.39,53.426,6909,369119.72,27,INTC
2020-10-22,09:46,09:46 AM,53.38,53.335,53.37,53.345,53.357,1370,73098.655,12,INTC
2020-10-22,09:47,09:47 AM,53.36,53.335,53.34,53.36,53.343,1816,96870.57,17,INTC
2020-10-22,09:48,09:48 AM,53.415,53.32,53.385,53.38,53.371,4591,245027.185,31,INTC
2020-10-22,09:49,09:49 AM,53.39,53.36,53.39,53.36,53.368,2250,120079,12,INTC
2020-10-22,09:50,09:50 AM,53.375,53.3,53.335,53.375,53.317,1555,82908,10,INTC
2020-10-22,09:51,09:51 AM,53.4,53.38,53.38,53.39,53.392,1978,105608.63,15,INTC
2020-10-22,09:52,09:52 AM,53.4,53.385,53.4,53.4,53.393,1756,93758.745,14,INTC
2020-10-22,09:53,09:53 AM,53.46,53.375,53.38,53.46,53.412,606,32367.78,8,INTC
2020-10-22,09:54,09:54 AM,53.48,53.465,53.48,53.48,53.473,212,11336.25,5,INTC
2020-10-22,09:55,09:55 AM,53.53,53.465,53.47,53.51,53.503,5452,291700.7,20,INTC
2020-10-22,09:56,09:56 AM,53.55,53.505,53.51,53.53,53.541,407,21791.335,8,INTC
2020-10-22,09:57,09:57 AM,53.6,53.525,53.525,53.6,53.544,401,21471.025,3,INTC
2020-10-22,09:58,09:58 AM,53.665,53.595,53.595,53.665,53.624,12614,676420.39,20,INTC
2020-10-22,09:59,09:59 AM,53.77,53.66,53.665,53.77,53.693,6173,331444.72,46,INTC
2020-10-22,10:00,10 AM,53.835,53.745,53.76,53.745,53.803,10914,587204.775,37,INTC
2020-10-22,10:01,10:01 AM,53.765,53.73,53.75,53.74,53.756,8042,432304.4,27,INTC
2020-10-22,10:02,10:02 AM,53.745,53.7,53.72,53.74,53.721,4448,238952.57,27,INTC
2020-10-22,10:03,10:03 AM,53.78,53.66,53.74,53.66,53.725,6548,351791.16,40,INTC
