date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,215.14,213.93,213.93,215.065,214.585,4290,920568.83,50,MSFT
2020-10-22,09:31,09:31 AM,215.27,215.15,215.27,215.155,215.178,2100,451874,9,MSFT
2020-10-22,09:32,09:32 AM,215.85,215.45,215.45,215.74,215.747,3148,679171,13,MSFT
2020-10-22,09:33,09:33 AM,215.87,215.61,215.86,215.61,215.814,911,196606.84,13,MSFT
2020-10-22,09:34,09:34 AM,215.605,215.595,215.595,215.605,215.6,200,43120,2,MSFT
2020-10-22,09:35,09:35 AM,215.45,215.11,215.24,215.42,215.288,2001,430792.45,16,MSFT
2020-10-22,09:36,09:36 AM,215.61,215.37,215.39,215.61,215.415,434,93490.2,8,MSFT
2020-10-22,09:37,09:37 AM,215.865,215.65,215.69,215.79,215.77,810,174774,9,MSFT
2020-10-22,09:38,09:38 AM,215.84,215.59,215.745,215.59,215.668,1552,334716.55,12,MSFT
2020-10-22,09:39,09:39 AM,215.5,215.04,215.49,215.145,215.253,6242,1343610.57,22,MSFT
2020-10-22,09:40,09:40 AM,215.32,214.99,215.2,214.99,215.177,10085,2170055.98,65,MSFT
2020-10-22,09:41,09:41 AM,215.12,215,215.12,215.08,215.067,6904,1484824.015,60,MSFT
2020-10-22,09:42,09:42 AM,215.14,214.9,215.08,215.09,215.041,4649,999723.75,38,MSFT
2020-10-22,09:43,09:43 AM,215.14,214.88,215.07,215.14,214.986,2649,569496.93,21,MSFT
2020-10-22,09:44,09:44 AM,215.305,215.08,215.175,215.305,215.225,1169,251597.765,15,MSFT
2020-10-22,09:45,09:45 AM,215.35,214.95,215.35,214.97,215.088,3405,732373.45,33,MSFT
2020-10-22,09:46,09:46 AM,214.91,214.71,214.895,214.75,214.813,3796,815432.045,36,MSFT
2020-10-22,09:47,09:47 AM,214.93,214.75,214.77,214.88,214.836,4706,1011019.63,35,MSFT
2020-10-22,09:48,09:48 AM,214.99,214.76,214.89,214.76,214.896,3029,650920.69,26,MSFT
2020-10-22,09:49,09:49 AM,214.73,214.43,214.73,214.435,214.576,3580,768183.23,32,MSFT
2020-10-22,09:50,09:50 AM,214.47,214.1,214.47,214.27,214.302,2465,528253.5,26,MSFT
2020-10-22,09:51,09:51 AM,214.51,214.29,214.38,214.44,214.391,2866,614443.36,26,MSFT
2020-10-22,09:52,09:52 AM,214.62,214.55,214.61,214.56,214.574,1448,310703.02,13,MSFT
