date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,129.51,129,129.445,129.225,129.252,932,120462.82,22,QCOM
2020-10-22,09:31,09:31 AM,129.535,129.4,129.4,129.535,129.412,110,14235.35,2,QCOM
2020-10-22,09:32,09:32 AM,129.54,129.415,129.54,129.425,129.465,2158,279386.4,13,QCOM
2020-10-22,09:33,09:33 AM,129.42,129.05,129.42,129.05,129.273,1754,226744.365,10,QCOM
2020-10-22,09:34,09:34 AM,129.11,128.89,128.95,129.11,128.936,354,45643.42,5,QCOM
2020-10-22,09:35,09:35 AM,129.1,129.1,129.1,129.1,129.1,25,3227.5,1,QCOM
2020-10-22,09:36,09:36 AM,129.04,128.89,128.995,128.89,128.946,214,27594.565,5,QCOM
2020-10-22,09:37,09:37 AM,129.065,128.92,128.92,129.065,128.974,16,2063.59,2,QCOM
2020-10-22,09:38,09:38 AM,128.98,128.98,128.98,128.98,128.98,105,13542.9,2,QCOM
2020-10-22,09:39,09:39 AM,128.86,128.615,128.86,128.625,128.701,781,100515.095,9,QCOM
2020-10-22,09:40,09:40 AM,128.745,128.715,128.745,128.73,128.729,704,90625.42,5,QCOM
2020-10-22,09:41,09:41 AM,128.76,128.67,128.74,128.75,128.73,680,87536.425,10,QCOM
2020-10-22,09:42,09:42 AM,128.87,128.685,128.685,128.83,128.76,1400,180263.5,11,QCOM
2020-10-22,09:43,09:43 AM,128.87,128.81,128.85,128.86,128.829,347,44703.55,9,QCOM
2020-10-22,09:44,09:44 AM,129.14,128.81,128.87,129.13,128.974,1781,229702.835,34,QCOM
2020-10-22,09:45,09:45 AM,129.3,129.09,129.145,129.28,129.205,1290,166674.065,15,QCOM
2020-10-22,09:46,09:46 AM,129.15,129.05,129.11,129.05,129.113,591,76305.875,6,QCOM
2020-10-22,09:47,09:47 AM,129.14,129.05,129.08,129.14,129.074,389,50209.86,9,QCOM
2020-10-22,09:48,09:48 AM,129.22,129.11,129.19,129.11,129.177,610,78798,9,QCOM
2020-10-22,09:49,09:49 AM,129.17,128.97,129.17,129.04,129.037,716,92390.735,11,QCOM
2020-10-22,09:50,09:50 AM,129.035,128.94,128.995,129.025,128.981,501,64619.45,7,QCOM
2020-10-22,09:51,09:51 AM,129.24,129.19,129.19,129.24,129.19,201,25967.24,3,QCOM
2020-10-22,09:52,09:52 AM,129.32,129.185,129.22,129.185,129.28,717,92693.865,8,QCOM
2020-10-22,09:53,09:53 AM,129.21,129.055,129.065,129.21,129.064,205,26458.05,3,QCOM
2020-10-22,09:54,09:54 AM,129.22,129.16,129.22,129.19,129.206,1004,129722.64,9,QCOM
2020-10-22,09:55,09:55 AM,129.265,129.2,129.21,129.265,129.204,410,52973.65,4,QCOM
2020-10-22,09:56,09:56 AM,129.22,129.19,129.22,129.22,129.21,178,22999.42,5,QCOM
2020-10-22,09:57,09:57 AM,129.22,129.16,129.17,129.2,129.183,636,82160.28,9,QCOM
2020-10-22,09:58,09:58 AM,129.29,129.22,129.29,129.22,129.267,303,39167.825,3,QCOM
2020-10-22,09:59,09:59 AM,129.28,129.19,129.21,129.28,129.244,407,52602.41,6,QCOM
2020-10-22,10:00,10 AM,129.33,129.09,129.315,129.09,129.264,644,83246.345,14,QCOM
2020-10-22,10:01,10:01 AM,129.03,128.9,128.9,129.03,129.007,612,78952.09,6,QCOM
2020-10-22,10:02,10:02 AM,129.05,128.92,129.05,128.92,129.046,106,13678.91,3,QCOM
2020-10-22,10:03,10:03 AM,128.93,128.84,128.9,128.84,128.874,1825,235195.05,20,QCOM
2020-10-22,10:04,10:04 AM,128.825,128.76,128.825,128.79,128.805,1406,181100.21,13,QCOM
2020-10-22,10:05,10:05 AM,128.805,128.74,128.805,128.75,128.755,238,30643.765,5,QCOM
2020-10-22,10:06,10:06 AM,128.84,128.78,128.78,128.84,128.809,428,55130.32,7,QCOM
2020-10-22,10:07,10:07 AM,128.825,128.81,128.825,128.81,128.817,200,25763.5,2,QCOM
2020-10-22,10:08,10:08 AM,128.77,128.72,128.725,128.72,128.748,520,66948.9,4,QCOM
2020-10-22,10:09,10:09 AM,128.72,128.72,128.72,128.72,128.72,100,12872,1,QCOM
2020-10-22,10:10,10:10 AM,128.71,128.61,128.705,128.61,128.677,1033,132923.655,12,QCOM
2020-10-22,10:11,10:11 AM,128.645,128.61,128.61,128.615,128.627,400,51451,4,QCOM
2020-10-22,10:12,10:12 AM,128.595,128.53,128.595,128.58,128.575,329,42301.275,7,QCOM
