date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,443.73,441.83,442,442.73,442.708,12733,5636997.335,114,TSLA
2020-10-22,09:31,09:31 AM,445,441,442.865,441,443.141,5716,2532996.375,68,TSLA
2020-10-22,09:32,09:32 AM,441.94,437.49,441.82,437.68,440.109,6149,2706233.295,78,TSLA
2020-10-22,09:33,09:33 AM,438.88,436.81,437.61,438.23,438.165,9401,4119186.57,114,TSLA
2020-10-22,09:34,09:34 AM,440.06,437.56,438.98,438.295,438.751,5190,2277118.44,65,TSLA
2020-10-22,09:35,09:35 AM,439.48,438.51,438.83,439.04,439.054,3820,1677184.79,43,TSLA
2020-10-22,09:36,09:36 AM,440.92,439.03,439.13,440.1,439.857,4773,2099437.33,64,TSLA
2020-10-22,09:37,09:37 AM,440.05,438.91,439.88,439.535,439.493,1502,660118.255,22,TSLA
2020-10-22,09:38,09:38 AM,439.73,437.36,439.73,437.36,438.82,7161,3142390.54,77,TSLA
2020-10-22,09:39,09:39 AM,437.11,436.01,437.11,436.795,436.41,6707,2927003.095,58,TSLA
2020-10-22,09:40,09:40 AM,437.14,435.2,437.13,435.76,435.772,14935,6508250.49,196,TSLA
2020-10-22,09:41,09:41 AM,436.95,435.64,435.64,436.56,436.522,15460,6748631.935,175,TSLA
2020-10-22,09:42,09:42 AM,437.58,436.2,436.53,437.11,437.004,10142,4432096.37,137,TSLA
2020-10-22,09:43,09:43 AM,438.21,436.31,437.29,438.21,437.545,6921,3028249.645,96,TSLA
2020-10-22,09:44,09:44 AM,439.08,438,438,438.43,438.639,8784,3853008.485,128,TSLA
2020-10-22,09:45,09:45 AM,438.37,436.37,438.32,436.79,437.276,7326,3203483.035,111,TSLA
2020-10-22,09:46,09:46 AM,437.41,435.7,436.72,437.39,436.382,6584,2873136.48,92,TSLA
2020-10-22,09:47,09:47 AM,437.59,436.51,437.36,436.95,437.017,5598,2446420.74,78,TSLA
2020-10-22,09:48,09:48 AM,437.53,435.245,436.94,435.41,435.919,9734,4243240.31,105,TSLA
2020-10-22,09:49,09:49 AM,436.1,435.18,435.43,435.52,435.465,2705,1177931.79,40,TSLA
2020-10-22,09:50,09:50 AM,437.07,435.25,435.25,436.48,436.481,5875,2564328.67,74,TSLA
2020-10-22,09:51,09:51 AM,436.23,435.34,436.215,435.74,435.94,7726,3368071.84,56,TSLA
2020-10-22,09:52,09:52 AM,435.76,433.66,435.5,434.4,434.526,16594,7210526.69,223,TSLA
2020-10-22,09:53,09:53 AM,434.6,433.64,434.4,433.76,434.255,7173,3114911.47,78,TSLA
2020-10-22,09:54,09:54 AM,434.11,433.28,433.81,433.35,433.78,11404,4946831.21,129,TSLA
2020-10-22,09:55,09:55 AM,434.46,433.3,433.42,434.31,434.017,7944,3447830.46,97,TSLA
2020-10-22,09:56,09:56 AM,434.38,433.24,434.18,433.97,433.865,7285,3160704.08,78,TSLA
2020-10-22,09:57,09:57 AM,435.1,433.7,434.13,435.07,434.793,4456,1937440.27,51,TSLA
2020-10-22,09:58,09:58 AM,435.08,434.14,435,434.83,434.597,7270,3159520.58,88,TSLA
2020-10-22,09:59,09:59 AM,434.8,433.4,434.78,433.675,434.398,3892,1690678.08,55,TSLA
2020-10-22,10:00,10 AM,433.72,431.83,433.48,432.1,432.519,12372,5351120.825,193,TSLA
2020-10-22,10:01,10:01 AM,434.4,431.28,431.75,432.91,432.277,12979,5610530.31,134,TSLA
2020-10-22,10:02,10:02 AM,432.46,431.73,432.34,431.94,432.174,2938,1269728.51,43,TSLA
2020-10-22,10:03,10:03 AM,431.77,430.54,431.65,431.44,431.067,12366,5330570.44,127,TSLA
2020-10-22,10:04,10:04 AM,431.44,430.33,431.44,430.72,430.735,8004,3447606.7,91,TSLA
2020-10-22,10:05,10:05 AM,431.78,430.77,430.85,431.75,431.34,6944,2995225.265,76,TSLA
2020-10-22,10:06,10:06 AM,431.59,430.5,431.59,431.36,430.985,3069,1322692.6,47,TSLA
2020-10-22,10:07,10:07 AM,431.4,431.02,431.23,431.26,431.211,4320,1862831.7,44,TSLA
2020-10-22,10:08,10:08 AM,431.25,429.41,431.25,429.94,429.882,9382,4033154.51,128,TSLA
2020-10-22,10:09,10:09 AM,430.37,428.77,430.1,428.84,429.356,6769,2906311.285,94,TSLA
